Author,Comment
@goriandriyanto2269,Ayo viral kan vidio ini yg setuju like di bawah  ayoo monggo coba dong jawa
@robertusandhika1122,THIS IS A WORLD CLASS SONG  DUDE !!
@Catsosaurus,"Never been so proud while listening to a song, this is a masterpiece hope you guys can go international and more people recognize your music."
@kris_suka_69,"Actually Your first sentences. Became a realty in August 2025.. 

So many chaos at my country."
@rigamulya7735,102jt
@ucudiniati3435,klo like nya bisa mencet 100 kali aku like 100 kali nih vidio
@stevensantoso5289,"damn lathi been so famous back then but yet still played in Autralia in music""s station emang pecah lathi, love from Canberra Australia"
@emmanuelbenny6791,I heard it when I'm still young and remembered my memory and the dance is cool
@bujurcrewchannel114,Kayak gini gak TRENDING Indonesia aneh . Giliran Culametan Trending . Hadeuhhh
@imozzly7754,"she is good action when she take the thunder to she body.
Good job guys, we proud of you 
uppsss sorry if my english so bad"
@pandupratama_1339,1 minute of silence for all people who can't find this song
@putrimaharani5942,Lagu ini spt membawa kita ke dimensi lain..dunia penuh mistik dan kt kehilangan kesadaran.wow banget
@yndslv,ada yang dari 2025 dan kengen lagu ini?
@PratiwiBangapadang,Hai aku dari masa depan tahun 2025... Inget banget yha tahun 2020 masa corona
@Muayinnetherland,Saya kerja di belanda di salah satu restoran siap saji pas kita kerja tuh biasanya ada musik suatu hari saya request buat di puterin lagu ini teman² saya dari berbagai negara ga nyangka sekeren itu musik dn lagu Indonesia sampe mereka searching sendiri soal musik indo
@AntonBandar,Aseeek..
@mirahwulandari5052,Krenn oarah... Q kira bukan orang indonesia penyanyinya.... Baru sadar.... Ada lirik jawanya
@somanitaly5922,I'm from Cambodia love this song
@justlockyn,"Lagu zaman covid, udah 5tahun aja"
@Zaitsevka,"Wait seems i repost this before.
Everyone: find this on tiktok
Me: FIND THIS AT SPOTIFY


Oh damn my grammar is sucks"
@mizzanul1390,"Eh ini harus go internasional ayo trending kan gua pengen weird genius mendunia ayo trendingkan biar weird genius seperti rich brian, Stephanie putri, Niki, Agnez mo, yang udh go internasional gua salut bro tetep semangat untuk berkarya buktikan anak bangsa bisa go internasional"
@myzy457,"edit tan ama edm anjayy, nyampe merinding gitu gua dngernya"
@iputupurnama8481,Ak Bali agm Bali ️️️️️
@ooobzv,"I really love this song! I'm a gamer, and I can say, this kind of lyrics, tuning and everything are so eargasm for us! Just my opinion"
@Ihduycp1825,"Just my opinion, ini salah satu lagu/MV/karya yg dikemas secara apik, yg dibuat secara ga asal asalan. Karna jujur, gua dengerin ini ga berenti berenti. Padahal gua peka banget sama suara tembang/gamelan/apalah itu disebutnya yg mana gua gasuka banget kalo udah denger suara kek gitu (karna gua emang kurang suka musik kek lingsir wengi). Alasan gua ga berenti dengerin ini mungkin karna genrenya EDM. Dan emang gabisa boong gua, ini bagus parah. 
Bahasa jawa dan bahasa inggrisnya dicampur tapi enak didenger dan ga terkesan ""MAKSA"". Pokonya bener bener bagus banget si. Top banget.
Semangat Weird Genius. Tetep bikin karya yg apik alias ga asal asalan yg cuma untuk viral gajelas kek yg udah ada di negara ini -_- wkwkwk
P.s : ini opini sendiri ya, maap kalo ada kata kata yg kurang enak dibaca"
@peleddragon8098,"Liat d fb ada yg posting lagi ini, dia pun heran kenapa lagi kayak gini gk boming di negri sendiri,.
Dan giliran gw dengerin lagunya,
Gw pun ikut heran, lagu sekeren ini ko gw malah baru denger dan kenapa gk banyak orang yg ngeshare,
 baru kali ini gw dengerin lagu sampe merinding,..

Lanjutkan karya andan, lestarikan budaya kita. 
I like your song"
@rikoardian6159,"Ayok guys tembuskan 1 jt like
Karna karya sepwrti ini layak mendunia"
@dhaniiieey3906,"Ditonton : 16juta
Like: 1,2 juta


Yang dislike ga ada akhlak"
@ginam5189,Gaada tambahan tombol like? Bagus bangett woy
@rahmanhakim958,UP TRENDING NUMBER 1
@PutraRahman-l2u,Gw di 2025 pen nonton youtube eh ketemu sama lagu ini jadi nostalgia keren sih indonesia bisa bikin lagu bagus kayak gini sampai orang luar negeri juga reaction super GG bangga gw
@kojekterdampar8924,2025 mampir kesini coment
@tisnaanidia21,"Balinese done
Javanese done 

next Sundanese , im hoping ??"
@herikurniawan2801,"25oct14..
after long time comeback here again, the geniusm of arap and eka.. #bigrespect"
@shevoka9092,This song makes me wanna raise the red and white flag on Himalaya mountain
@adelaidemey4911,"This song is killed
this is in another level
proud neighbor Timor-leste🇹🇱"
@adityggataudiri672,"Reza arap, Eka , Gerald , sara and all people behind the scene..
Congrats and thanks bro for making this amazing art"
@yuniwahyuni1001,gak kerasa udah 5 tahun lagu ini dan aku masih terngiang
@BOCAHDUGEM,YANG MASIH DENGARIN SAMPE SEKARANG MANA NI SUARA NYA
@yosu4ditya394,Punten Jawa like
@otaku_chan5575,"I came from the challenge, this is the first time I listen to an Indonesian song 
And MAN That’s dope !! The melody is always in ma head ! From Morocco 🇲🇦"
@yokjejalan,"I was born a fool
Aku dilahirkan sebagai orang bodoh
Broken all the rules
Merusak semua aturan
Seeing all null
Karena semuanya nol
Denying all of the truth
Menyangkal semua kebenaran


Everything has changed
Semuanya telah berubah
It all happened for a reason
Itu semua terjadi karena suatu alasan
Down from the first stage
Turun dari tahap pertama
It isn’t something we fought for
Itu bukan sesuatu yang kami perjuangkan


Never wanted this kind of pain
Tak pernah menginginkan rasa sakit seperti ini
Turned myself so cold and heartless
Mengubah diriku begitu dingin dan tak berperasaan
But one thing you should know
Tapi satu hal yang harus kau ketahui


'Kowe ra iso mlayu saka kesalahan
'Kamu tidak bisa lari dari kesalahan.
Ajining diri ana ing lathi'
Harga diri seseorang ada pada lidahnya (perkataanya)'


Pushing through the countless pain
Mendorong rasa sakit yang tak terhitung jumlahnya
And all I know that this love’s a bless and curse
Dan yang kutahu bahwa cinta ini adalah berkah dan kutukan"
@Ttaqin9,"Pak Soekarno tersenyum melihat ini!!!
Semangat berkarya boss"
@denyyudanto99,Oktober 2025 are still??
@indahramadhina661,"pertama kali denger lagu ini tuh dikantor krn ada temen yg puterin, langsung tanya INI LAGU SIAPA KEREN BANGETTT.
Baru diawal aja udah ngerasain kek ""ini musik yg dari dulu gw pengen woyyy"" karena emg seneng banget musik tradisional dr SMA udh main cetik (alat musik tradisional lampung) pas kuliah main gamelan.
Makin ketengah"" lagu ini makin apik banget ya ampun kok bisa buat musik sebagus ini.
Gatau kenapa kek ngerasa merinding dan bangga banget gitu dengerinnya:')
HARUS GO INTERNASIONAL!!!!!!!"
@meezoneky,"Ga kerasa ya, 2020 sudah 1 tahun"
@xuieee0,kangen lagu ini
@rameyzan,Salah satu musik Indonesia yang keren bgt. Tanpa plagiat konsep musik luar
@muhamaddzakiakram,"WG FOR FIFA WORLD CUP U20 2021 ""OFFICIAL MUSIC ARTIST"""
@alehartzler2027,"""Lathi"" Musik yg bergenre EDM pertama dari Indonesia yg gue SUKA. Lirik nya easy listening, Video clip nya  ganasss dark-Gothic, story nya cukup general) toxic relationship) tpi di kemas dgn EPIC. Bahaya ini utk musisi lain.

Congtatzzz bro!"
@pangkasrambut8818,merinding!
@rengga6464,"Muda2han dgn video ini dpt, mengangkat budaya dan tari jawa, temenku ada yang cari nafkah dari tari dan atraksi ekstrim jawa dan penghasilannya kecil bgt, karena popularitas budaya tergeser jaman dan minat masyarakat untuk melestarikan, mulai menurun."
@pandhukurniawan944,"human : thats a amazing music video
dedemit youtube : siipi ying kisini giri giri nintin bli bli bli hilih kintil"
@zidangmg617,"ONOK SENG MERINDING PASS LYRIC BHOSO JOWO NE?!!!! 

Seng podo Like"
@candrawiranata1206,100JUTA VIEWS?
@icaazainal9504,I’m from malaysia but i really love of jawa culture
@heninggadas5574,Almost 50 millons baby...Lets goooooooo....
@mel_fans-01,Bro i nostalgia...
@laurazenda2412,"Ini baru karya anak bangsa, bukan lele."
@ve9209,"Wong jowo endi iki 
.
.
.
.
."
@irfanmontana,Sumpah ini lagu keren banget yg dislike generasi tiktok itu .Bung Karno pasti disurga bangga dengan karakter Indonesia dicampur dengan lagu ini .Gua doain go internasional amin
@yogixfriends4,Lagu jaman covid-19
@DlyySheeshh,"DENGERIN 1× : LAGU APA SIH GAJELAS
DENGERIN 2× : MASIH GAK PAHAM 
DENGERIN 3× : MANTEPP SLUURRR"
@Babebu,"Sopo sg Mrinding pass lirik jowone
Sg Podo like..."
@shofiyaalqanita3979,Lagu nya bagusss banget pesannya sangat mendalam aku suka
@arvintokarijo8350,Woowwww! The song and video is sickkkk! As a javanese myself I am super proud to see and hear a representation of the javanese culture. Thank u! Greetings from Suriname! 🇸🇷🇸🇷🇸🇷🇸🇷
@reinaldirongrean9099,"Indonesia . Mana nih yang masih setia dengar musik ini Tahun 2021. . Tahun lalu Java, Tahun Ini Harus ada Dari Kalimantan, Sulawesi, sumatra Dll"
@disinibisa2987,"Mau dimana pun itu kalo udah puter lagu ini gak bakal bisa sekali lewat doang. Puter 100 kali juga aku lakuin. Wkwkwk 

Udah setahun aja ya, dan you are the best. 
Masuk di Billboard kereennn 
No 2 di  internasional 

Semangat terus karya anak bangsa."
@megachan.wings138,Edm + Gamelan = mantap
@ranggawidiyantoro6756,"Orang jawa asli pas lirik Ajining diri soko lathi pasti merinding asli


#WONGJOWORAILANGJAWANE!"
@Vista8899,"Damn..! It's an incredible music and song both at the same time. I ️ it so much.
Proud to be an Indonesian.."
@ekaputra924,"Udah sepi yg nonton, ayo lah tembusin 100jt view"
@kedondongofficial,Tiba tiba kangen lagu ini
@donii969,kok komentar nya rata2 banyak dapat like ya?
@Hajiwth,"We love Indonesia🇮🇩🇵🇭
(edited) thank you guys for the likes"
@StoryFiaAsyad,Dalam hati “gw kudu ikut komen sama like semua komen biar jadi tranding ini lagu” keren wouyyy !! Pegel pegel dah tangan :(
@Lalaela560,Nostalgia era
@ucoktupamahu9997,"36 Millions view , and still kekeyi is no 1 on trending ? It's speechless , wow ."
@joditaufiqurrahmanshalih8947,"Sumpah di didengerin berulaang ulaaangg kali gk ada bosennya smbil jlan kmna"" pke aerphon malah jdi candu Karya yg sngaat luar biasa tanpa battaass..!!! EDM dengan unsur budaya kita yg bkin good job mkin mantap trus berkarya & ciptakan musik"" Edm yg berkualitas sperti ini dri negeri menuju Dunia,,, Donald Trump tepuk tangan berkali"" ngeliat ini
Kim jong un tercengang ngeliat ini."
@blimbink1886,Gass 200 jt lurr...
@NuliaL-mq2lu,"The best song, the best performance"
@NovaSya-zw1ni,This is very cool .. geez I have commented 2 × because this is very very very good .. From the beginning to the end nothing was lacking or ugly .. because uwaww is too good .. Lathi is an old Javanese language as far as I know ... and in the sense that Indonesian is tongue / speech ... maybe this is as far as I know
@hernash-hk,This song made me goose bump  when the chorus take role
@madiosdios4545,FIX INI SIH YG DISLIKE PASTI ORANG GAPTEK DISANGKAIN TOMBOL DOWLOAD
@SusiAuraWati,jadi ke inget sesuatu yang membuat ku lumayan trauma
@senang_belajar19,"Ini yakin ga trending nih , what hapen of my country ? Apa cuma konten sampah yg bisa trending , woii ini karya cuk , sekelas global gini ga trending udah pada budek sama buta kali ."
@ITZALYA_WOLF_,"AKU BANGGA SAMA KKSEMOGA LAGU INI JADI LAGU TERBAIK DI DUNIABIAR INDONESIA POPULER
LAGUNYA WOWWWWWWW AMATTTTT GILAAAAAAAAAAAAAYA TUHAN AKU SAMPAI TAK BISA BERKATA APA APASEMANGAT KABEST SONG EVERRRRRRRR♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡"
@robertjoe5858,This music no.1 in my playslist my IPHONE music Application
@jaysoncastillano7284,This music makes me goosebump i really like the music most timely and unique. From Philippines🇵🇭
@cilexkarta6371,"Weird genius
Emang jenius
Good job brother and sister
Like this song really like this"
@SamuelIDAja,"Jadi pengen ngumpulin orang yang abis nonton Lathi langsung liatin orang luar negeri Reaction Lathi juga 
Banyakan sih bilang karena bangga aja rasanya jadi pengen liat orang luar reaction ini"
@Muff_Channel,Still here
@hyperxxx4494,"Bagi yang membaca mohon beri dukungan terbaik, terbanyak demi mengpresiasi karya Indonesia agar mereka mendapat tenaga, dan harapan bahwa mereka dihargai , agar usaha mereka tidak berhenti sampai disini. Dukung yang memberikan hal positif bagi negara mau karya sekecil apapun itu.mohon bantuannya"
@rnzkyryn,people who don't come here because of tiktok are legends
@aciakgaming1758,"Sumpah yaa,,,w bangga banget sebagai orang indonesia,,,skrg indonesia udah mulai jadi sorotan orang2 luar negri,semoga cepet kelar project lu yng baru bang arap,,,w bangga banget sama lu bang,,,trus berkarya bang,,,bodo amat lah ama bacot2 orang yng kaga jelas"
@Izzanuraliyah,I used to wear this when I performed at school.
@elrenagatha6978,"yeahh. go to top trending . indonesia jangan bodoh"" memilih lagi. jangan lagu yang gk jelas bisa trending... yoshhh we keep support this song"
@ikhsanskuyy2627,"Pertama denger , B aja
Kedua denger , B aja
Ketiga keinget terus sama lirik jawanya , lumayan suka
Ke empat , terobos ajalah anyink download"
@luthfisyahrial,"ASLI TERHARU, baru kali ini lagu EDM+Tradisional bikin BANGGA INDONESIA!!!"
@RismanSolsagann,WHAT A GREAT SONG
@mariasusanti928,"Karya bangsa sndiri kok masih di dislike ya
Padahal keren bgt"
@desria1772,Balek ke sini lagi setelah liat dance version dari 1Million Dance
@ellafordaningsih902,Siapa yg ngulang2 lagunya sambil baca komentar yg keren2 ini likenya manaaa
@AlviAaa-y91,Who would have thought that the person who made this song came from Indonesia
@eake1439,"The witch is like comes from suicide squad villain,the light from the man look from the Avatar
Overall,I love it,rich with cultures
Maybe the next Alan Walker???"
@euphoriabunyy,Indonesia bagus salam dari Malaysia
@RavinsBoyizDrop,Tembusin 8 juta likes agar masuk 100 besar lagu dengan like terbanyak di dunia!!!!
@fulanahbintifulan1445,"Asli merinding
Ags'25 kumpul.."
@faa4792,Seng ngoroso awak e wong jowo like e slur
@zaidanzf_,if lathi hit 100m views it would be LIT
@sakuzya7090,The culture mix with modern make masterpiece like this
@sydj696,"5 tahun lepas sia dah 2025 days
10/8/2025"
@nadyasavira0422,Emg keren bgt sih ini lagu. Sampe hari ini gue dengerin pun masih merinding denger nya.
@metrizalkomet8365,"I'm from brazil,, i like this song so muchhh"
@imammaulana9778,Aku anak melayu riau bangga jadi anak indonesia🇮🇩🇮🇩🇮🇩
@acayamayama5136,Lathi : Lidah yang berarti kau tidak bisa lari dari perkataan mu itu
@shofiyahfathani3150,Yang dislike fix yg beli kuota harian nih pasti karna ga bisa nntn video smpe habis-_- masak video sebagus ini ada yg dislike
@kharismanadagroup757,Gua gak bisa komentar apa apa ...luar bisa bangett... Keren salam dari rusia..
@aviansyahibrahim5778,"Akhir tahun 100jt view, yok Indonesia bisa"
@GabrianIvander,This song made by Indonesia wow
@kristian_sibarani,"Lets be honest, this wasn't in your recommendation, u searched for it..."
@feli.c9910,we need a petition for gmmtv to use this music as 'the gifted: graduation' ost
@yukris5644,"Semoga bisa 100 juta
1 Juni 2020 : 34 juta"
@4bdoe.e,THIS IS INDONESIA️
@nyenyenye630,"Yang harus trending#1 itu ini bukan, boneka boneka boneka gak jelas, ini karya memperkenalkan tanah air 🇮🇩🇮🇩🇮🇩🇮🇩"
@syafaaterzs,"ɢᴜᴀ ᴋᴇsɪɴɪ ɢᴀʀᴀ ɢᴀʀᴀ ɪɴsᴛᴀɢʀᴀᴍ ʜᴇsᴏɪʏᴀᴍ_ (ʜɪsᴛᴏʀʏ ᴠɪᴅᴇᴏ ᴋᴀᴅɪᴛᴀ)




ᴇᴅɪᴛ : ᴀɴᴊᴀʏ ᴜᴅʜ ʀᴀᴍᴇ"
@annasanwar1096,Yang masih dengerin lagu sampai sekarang siapa
@ceptegarmuharam5601,Vibes 2020
@Vract,Gw
@dedydoow7802,"Soo deep.. I lov this song, 
Can't stop listening everyday.."
@multazamnazli1076,"Yang dukung WEIRD GENIUS dapet piala musik award 2020 like dan kometar, ""setuju"""
@hilmirailfans,Is music inspirasion for tradision majapahit (indonesian)
@reganslism3947,"Positif aja Mungkin Yang Dislike
Sering Nonton Kekyi Mukbang
Jadi dah biasa dislike,Atau memang gasuka
Dan buat yang like
 I'M WITH YOU"
@satriaajipangestu3338,Masih aja heran.... Kenapa bisa ga trending???????? Sekeren inj g trending cuk...
@bellasetiani4617,Woy sekeren ini masih ada yang dislike? Yang dislike ga ada akhlak jir
@lyn_cutie1890,I love this song
@sportskuy7539,"Lagu EDM x Tradisional yg lagi trending:
1. Lathi - Weird Genius 
2. Mother Earth - Alffy Rev"
@cikalsylvia3192,"itu yang dislike sebanyak itu sini sini cerita sama aku,kalian nonton sambil merem kah? TRENDING KAN REK!! huhu"
@syakirartofficial8960,SUMPAHHH YANG DISLIKE GA ADA AKHLAK WOYYYYY
@andreasssx,Masterpiece.
@wahyuaji705,"Entah kenapa aku jadi teringat kisah rorojonggrang. Yang mengisahkan cinta pangeran terhadap seorang putri. Cerita cinta itu berakhir dengan sebuah kutukan. 

Karena! Sebuah PERKATAAN bisa mengubah segala alur cerita kehidupan.

AJINING DIRI ONO ING LATHI

Karena aku orang jawa, Aku selalu merinding tiap mendengar kalimat "" ITU "" di lagu ini

Selamat buat semua yg terlibat di dalam nya"
@fachrysandra6303,"Anjiiiirrrrrr saluttt bgt karyanya, gue harap bisa terus memajukan musik indonesia, DANN PLEASE JGN SAMPE DI REMIX AMA GAGAK."
@yunojung8344,"Itu yg nge dislike maslhhnya apaan sihhh,mungkin iri yhhh ngeliat karya sebagus ini

Selalu smangattt buattt kryaa ke giniiiii
GO INTERNATIONALL!!!!"
@DmZSan,Sudah 5 tahun aja ternyata
@najwanabila3684,"""kowe ra iso mlayu saka kesalahan ajining diri ana ing lathi : kamu ga bisa lari dari dari kesalahan, kehormatan diri ada di ucapan"" menurut ku pesan dri lagu lathi ini kita harus selalu menjaga ucapan/lisan agar tidak menghancurkan kehidupan seseorang atau diri sendiri. Salut lah sama weird genius suka bgt sama ni lagu >~< ya nama nya juga genius lah 
.
Btw itu g tau arti nya bener apa kagak :""v"
@marinaofficial213,Mana nih orang jawa
@liliksetiawan2482,"Kirain full Inggris ternyata ada Jawa nya




Orang Jawa mana nih"
@hendrasutikno3387,HAMPIR KAYAK FUNK
@SYAFTON,It just me or this gives me Enchantress from suicide squad vibes.
@hidabc,"Kelak  ditahun 2030 masih ada yang komen

""Yang masih nonton 30 februari 2030 like""

Mlzzz"
@bayurifqie_hp285,Jawa tengah like
@LuriBuotigue,lagu indonesia paling keren gue denger
@luwakwhitecoffe7098,"Yang gak like parah, bagus banget, dan yang gak suka?kenapa gak suka bagus kek gini kok gak suka?hadeuhhh pokoknya good bagus banget deh"
@zuko.7039,Siapa yang kira orang barat hayo
@faridaaprilia9080,SEBAGUS INI MASIH AJH ADA YANG DISLIKE HERAN GUA SAMA STANDARISASI KEBAGUSAN MEREKA
@Ato12Z,What an amazing video and song!!!
@janherdijk,"Jawa Timur endi suarane!!

(edit) yo ngono rek JATIM seng akur lurr!"
@campur-campur5201,"Anjir,,,Giliran lagu nya si, KEKEY BOKAN BONEKA. trending nya sampe keluar angkasa, tapi kalo ini cumah di bilang ghaib atau gimanalah, padahal ini karya luar biasa gaess +62.parah dah"
@lyubo_stan,"Who came here after Tristan reacted to this?
.
.
.
.
I am not Russian"
@HakimAbdul-1q8g,Masih dengerin sampe sekarang
@srizulhifani6364,"Kesel bat dibilang ngundang setan...
Jelas2 lirik2nya inggris gaada kaitan dg setan...umahku nang sanding segoro kidul apa arep diomong kancanan karo setan juga??"
@deejay.trader,Ghosts are unreal. The only thing they should afraid of is me.
@rohenisulistyaningsih,Lagu gabungan inggris jawa ini bagus banget apa lagi yang bagian kowe iso mlayu beuhhh apalagi
@lyn_cutie1890,Gila kok bisa lagunya keren banget
@nerisaismayanti5424,udah 5 tahun berlalu
@stayhalal-u8r,I'm from Indonesian in Java
@arahbola6452,2020 overpower bgt nh lagu
@Maulana-e5j,Disaat nanti saat kau sudah mengerti kau tak akan ku lepaskan
@rzersx,5 years ago
@NabilahShafwa,Kerreeen pooollll
@masmboyz6375,Gokil masih saya dengar di tahun 2025
@DANCE-g2q,Wow
@lianlyn0880,Muncul lagi setelah 5 tahun
@Lehayo-s,Lagu ini viral banget sampe keluar negeri  bagus banget
@friskaaputri-h8z,Oktober 2025... Anyone?
@PakDe-d8d2q,Kpla pcah
@MickvodkaGoodgame,"Kehormatan diri seseorang ada di lisannya.
Seseorang bisa dinilai dari lisannya dalam berkata atapun janji.."
@Arvelbejebu,1:03 this is so dang bro W song and W Indonesian
@kesehanan,gokil bangatsss
@natashavy,lagu Inggris X jawa terenak
@JKT48_fans-48f,Nostalgia
@christinedesyliana,"Jayalah Musik & Lagu Indonesia 
Apalagi jika ada unsur alat musik dan seni tari dari Indonesia.
Lestarilah Budaya Indonesia."
@buncisproject8502,2025 masih keren aja
@PR3TTY_L3XX4,Bestt nyyyeee
@RiskiyahwulandariMuhamad-q1y,Wayang kulit mbiyen
@JuanFelix-m2l,"saya latihan Smahpore pakai lagu ini, terimakasih atas ciptaan nya Weird"
@HazleyLinkafarasya,"151 JT sekrng ,dari nonton masih 800,sekarnag Balik Lagi"
@KNTNQ.F.C,"Sabtu, 11 oktober 2025 anyone?"
@cikalradianfajar2040,Yo this made indonesia
@AsfinaEva,Mantap
@LangitAbie,Kesini lagi di 2025. Emang Arap ini Genius sih.
@ROHMANPRODUCT,yg masih setia mendengarkan lagu lathi 4thn ini?
@enrisandi2872,cocok buat backsound nya Solo Leveling
@simpleSTAY0325,Minimal banget sebulan sekali mampir sini
@saputra911,Kembali lagi ke vidio keren ini.
@blueberrymahwaa,JAWA!
@NurRiyah-t8j,Akhirnyaa lagu yang ku tunggu tunggu ktemuuu
@rifqinouval155,Oktober 2025 !!!
@BiakBuaya,"Jrng lagu di indonesia make bahasa inggris, dan akhirnya cuma 1 lathi yg ku liat/dengar"
@vals332,still gimme goosebumps
@adamatturab388,Akting dia di film horor selalu bagus
@Rm36-Production,So good
@E-KinerjaBKNSatpolPPBanyumas,legends
@Ripzzzedity,"gamelan = 999+ aura
edm = 666+ aura

edm + gamelan = merasa kesurupan njir"
@SitiAnissa-d2g,Lagu ini sampe jadi mata pelajaran disekolah ku bener bener mendunia sih ni lagu
@romanhaloho2702,"keren, top. 
maju terus seni Indonesia"
@shangrawn,dah 2025 tetep aja masih suka dengerin
@lovelygirl-d6o,Ini dia yang ku cari
@mastahganz6718,The Best
@RedStoneCraftGG,"2 possible remix:

Lathi x Polumnia Omnia
Lathi x Deltarune - Black Knife"
@deddyharyadi4228,Ga bosan masih dengerin lathi ditahun 2025
@UmniyyahHasanah,"pliss, kangen masa masanya"
@JLMvision,saya bahkan tidak tahu kalo ini juga termasuk karya dari Reza arab weird genius
@hjsuwarti2173,Melody.
@MeldaMayor02,Okt 2025?
@sanmoln,AMHUV!!!!
@pawitsulistiyono8912,Tidak terasa Sudah 5 Tahun berlalu sekarang Agustus 2025 play ini pagi
@Fairyislikeunicorn,This song is my anthems
@Kanzza97,There is an Indonesian wayang culture
@pik4._luvr,kangen sama era ini pls...
@wayandiana299,Thanks weird…you are so genious
@santriembonganofficial,Yes
@novanacw,Ini Sangat keren memadukan bahasa inggris  dan bahasa jawa
@XpressPCRepair,What a beautiful tune
@Zharalyn,Anyone here in August 2025?
@Pinta-m1m,Wow this music is so good!!!!
@kazekage472,"Gk terasa 5 tahun berlalu awal lagu ini release, bener² booming awal release live lagu ini. Sekarang dah tua aja"
@HadiSukarto-c9l,Wow amazing me from Indonesia jawa
@ismilestari2324,kesini karna habis lihat film para betina pengikut iblis
@Semoga_berhasil2112,
@AdiRahman-r6t,"Februari 2025 menjelang puasa, mengingat bulan puasa 2021 masa pandemi"
@adfishftnaaa6361,"""LATHI"" loveeee yooo Sara Fajiraaa and all people of Lathi and Weird Genius"
@RianaRudy,Gw yg nonton inin di tahun 2025
@abhadewi,hayolo siapa kgn vibes dirumah aja
@azmanjemey3743,Berhantu smpai 2025
@wisaeofficial7713,josss
@fitrapratama4318,Inget saat aktifitas di bumi ini beristirahat untuk sejenak
@Abudp3naterli,Musik yang begitu jeniuuuus....kalian luaaaaar biasaaaa
@azkanazrielhamdani8868,Aku bangga dengan indonesia  🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨
@UmiAtikah-jh8nh,Icikiwirrrr
@FaizIsmail-zo6xd,Tak kerasa sudah 5 tahun dari jaman pertama covid
@putrapratama6594,dari dulu selalu merindig kalau denger ni lagu GILAAAA KEREN BANGETT
@salsaPutri-y1v,Jawa jawa jawa jawa jawa
@Kheano,
@nurulamalia9492,kuuueren kebangetan
@riskifauziahafni6367,2025  masi sering putar
@adeirfanantonius7520,Lagu yg selalu bikin kangen tiap di dengernyaaa
@JatilawangH4J1-wx7uf,Bagus
@AgusSalim-ri4oj,Ini lagu gila sih. Setiap kali dengar pasti merinding.
@robbysiahaan5712,satu kata buat lagu ini gaess.. neng kene wes neng kono..
@Batrisyia_Gion_draw,I love this song
@rizqiirawan7991,nonton di 2025 ada?
@Tonysuna,baru dengar ... seperti yg aku impikan perpaduan yg traditional top top
@AvrilAuliyaazzahra,wow
@rahmaputri4758,"kembali setelah 5 tahun ...
2025"
@MemeiiAuroraa,2025
@FujiZeazefanya,Gak terasa udah 5 thun yg lalu. Ceoatnua waktu berlalu
@Aulia_hikmah,Kesini gara-gara abis nonton chit chat  yang ngundang kak sara fajira
@dericoramadhany7679,Is awesome
@susanpereyeibo7576,"Imperfections are really perfect, changes are inevitable"
@AndikaAja-zb7xn,
@abuRochmant,Kesini gara gara fyp tiktok dewi persik nyanyi lagu lathi
@CreatorMusic-UJ,Nice song
@AgungKun-f1i,"Keinget masa masa covid, di mana seluruh dunia ber istirahat"
@kucingyuraha9669,Blm move on from this song. Selalu merinding setiap  masuk ke gamelan nyanyian jawa
@tela321,keren
@MamaIfa-b3m,Semangattt Kakak!!
@zahransyavifadillah2544,
@putripermatasari5969,Keren keren keren
@cynn225,Keren bgtt
@Mericagoreng123,WOW!
